name,calories,fat,carbonhyfrate,fibrin,protein,vitunmius,flavor
Baked Chicken Fajitas,348,12,38,3,22,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 1.0, ""chicken"": 4.0, ""sour"": 0.5, ""fish"": 0, ""hot"": 1.25}"
Slow Cooker Chicken Noodle Soup,149,2,14,2,11,0,"{""cheese"": 0, ""pork"": 2.0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0.25}"
Pita Pizza,140,8,8,0,10,0.3,"{""cheese"": 4.0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0.25, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Applebee Knock-Off Oriental Chicken Salad,1290,85,84,10,51,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 1.5, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.5}"
Balsamic Grilled Pork Chops,196,5,8,1,26,0,"{""cheese"": 0, ""pork"": 4.0, ""oil"": 1.0, ""salty"": 0.25, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0.5}"
Lighter Sesame Chicken,367,12,36,1,31,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0.5, ""sour"": 0, ""fish"": 0, ""hot"": 0.0625}"
Baked Crispy Coconut Chicken with Sweet Apricot Sauce,523,10,52,3,50,0.97,"{""cheese"": 0, ""pork"": 0, ""oil"": 2.0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 2.0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Roman-Style Chicken,266,13,8,2,28,1.9,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 2.0, ""chicken"": 0.5, ""sour"": 1.3333333333333333, ""fish"": 0, ""hot"": 1.75}"
Honey Glazed Grilled Chicken,284,6,15,0,33,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 2.5, ""chicken"": 0, ""sour"": 1.2, ""fish"": 0, ""hot"": 0.75}"
Buffalo Turkey Burgers,467,17,42,0,35,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.3125}"
Baked Chicken Chimichangas with Green Sauce,303,12,28,0,25,0,"{""cheese"": 0, ""pork"": 1.0, ""oil"": 0, ""salty"": 0, ""beef"": 1.0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 4.0}"
Mediterranean Flatbread Pizzas,570,25,74,4,13,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Healthy Asian Glazed Drumsticks,213,5,13,0,28,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0.25, ""chicken"": 2.0, ""sour"": 2.0, ""fish"": 2.0, ""hot"": 2.0}"
Stuffed Chicken Divan,347,11,10,1,50,0,"{""cheese"": 0.5, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 1.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.25}"
Trending Articles,200,14,0,0,18,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Chicken and Bacon Autumn Chopped Salad,493,37,43,0,8,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0.5, ""salty"": 0, ""beef"": 0, ""sweet"": 2.0, ""chicken"": 4.0, ""sour"": 2.0, ""fish"": 0, ""hot"": 2.125}"
Baked Chicken Parmesan,251,10,14,2,32,0,"{""cheese"": 0.75, ""pork"": 0, ""oil"": 0, ""salty"": 0.125, ""beef"": 0, ""sweet"": 0, ""chicken"": 0.25, ""sour"": 0, ""fish"": 0, ""hot"": 0.125}"
Crock Pot Asian Pork with Mushrooms,224,9,11,0,25,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 16.0, ""sweet"": 2.0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 1.25}"
Honey Lime Grilled Chicken,286,9,7,0,34,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 1.5833333333333333, ""chicken"": 4.0, ""sour"": 2.066666666666667, ""fish"": 0, ""hot"": 2.0}"
Light Chicken Pot Pie,100,3,15,5,4,0.15,"{""cheese"": 3.0, ""pork"": 0, ""oil"": 0, ""salty"": 0.25, ""beef"": 0, ""sweet"": 0, ""chicken"": 3.0, ""sour"": 0, ""fish"": 0, ""hot"": 0.375}"
Crock Pot Beef Stew,499,11,46,7,56,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 3.0, ""salty"": 0, ""beef"": 14.0, ""sweet"": 0, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0.75}"
Grilled 7-Up Chicken,370,11,12,0,28,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 2.0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Summer Skillet Pasta,541,31,50,3,16,0.58,"{""cheese"": 2.0, ""pork"": 0, ""oil"": 0, ""salty"": 0.5, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 5.0, ""fish"": 0, ""hot"": 0.5}"
Asian Chicken Burgers,205,9,9,2,19,0,"{""cheese"": 0, ""pork"": 8.0, ""oil"": 0, ""salty"": 0, ""beef"": 1.0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 3.0}"
Asian Peanut Noodles with Chicken,338,5,51,4,21,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 1.0, ""salty"": 0, ""beef"": 0, ""sweet"": 0, ""chicken"": 0, ""sour"": 0, ""fish"": 0, ""hot"": 0}"
Simple Southwest Salad,234,3,33,10,20,0,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 1.0, ""sweet"": 1.5, ""chicken"": 0, ""sour"": 1.0, ""fish"": 0, ""hot"": 0.5}"
Southern Chicken and Corn Chowder,280,18,24,0,7,0.6,"{""cheese"": 0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 5.0, ""chicken"": 32.0, ""sour"": 0, ""fish"": 0, ""hot"": 1.0}"
Light Taco Casserole,272,9,26,6,20,0,"{""cheese"": 2.0, ""pork"": 0, ""oil"": 0, ""salty"": 0, ""beef"": 0, ""sweet"": 0.125, ""chicken"": 0, ""sour"": 3.1, ""fish"": 0, ""hot"": 1.625}"
